time_us,capture_1_v,capture_2_v
-6.552800000000000580e+01,1.830999999999999945e-03,8.540000000000000499e-04
-6.551999999999999602e+01,9.770000000000000039e-04,2.563000000000000174e-03
-6.551200000000000045e+01,4.879999999999999898e-04,1.830999999999999945e-03
-6.550400000000000489e+01,1.830999999999999945e-03,6.099999999999999737e-04
-6.549599999999999511e+01,2.197000000000000168e-03,1.830999999999999945e-03
-6.548799999999999955e+01,2.318999999999999881e-03,1.830999999999999945e-03
-6.548000000000000398e+01,1.098999999999999934e-03,2.197000000000000168e-03
-6.547199999999999420e+01,1.953000000000000092e-03,2.318999999999999881e-03
-6.546399999999999864e+01,1.464999999999999939e-03,2.439999999999999949e-04
-6.545600000000000307e+01,1.953000000000000092e-03,9.770000000000000039e-04
-6.544800000000000750e+01,2.563000000000000174e-03,1.953000000000000092e-03
-6.543999999999999773e+01,2.197000000000000168e-03,4.879999999999999898e-04
-6.543200000000000216e+01,2.929999999999999879e-03,9.770000000000000039e-04
-6.542400000000000659e+01,2.197000000000000168e-03,2.318999999999999881e-03
-6.541599999999999682e+01,2.441000000000000027e-03,2.441000000000000027e-03
-6.540800000000000125e+01,8.540000000000000499e-04,1.953000000000000092e-03
-6.540000000000000568e+01,1.221000000000000080e-03,2.441000000000000027e-03
-6.539199999999999591e+01,1.953000000000000092e-03,6.099999999999999737e-04
-6.538400000000000034e+01,1.464999999999999939e-03,4.879999999999999898e-04
-6.537600000000000477e+01,1.830999999999999945e-03,1.098999999999999934e-03
-6.536799999999999500e+01,2.197000000000000168e-03,2.075000000000000022e-03
-6.535999999999999943e+01,1.830999999999999945e-03,3.174000000000000172e-03
-6.535199999999998965e+01,2.318999999999999881e-03,2.563000000000000174e-03
-6.534400000000000830e+01,2.318999999999999881e-03,4.879999999999999898e-04
-6.533599999999999852e+01,1.464999999999999939e-03,1.830999999999999945e-03
-6.532799999999998875e+01,8.540000000000000499e-04,1.464999999999999939e-03
-6.532000000000000739e+01,2.318999999999999881e-03,4.879999999999999898e-04
-6.531199999999999761e+01,2.808000000000000166e-03,2.075000000000000022e-03
-6.530400000000000205e+01,6.099999999999999737e-04,2.441000000000000027e-03
-6.529600000000000648e+01,1.098999999999999934e-03,2.197000000000000168e-03
-6.528799999999999670e+01,1.587000000000000086e-03,2.441000000000000027e-03
-6.528000000000000114e+01,2.075000000000000022e-03,2.441000000000000027e-03
-6.527199999999999136e+01,1.343000000000000010e-03,2.441000000000000027e-03
-6.526400000000001000e+01,2.439999999999999949e-04,1.343000000000000010e-03
-6.525600000000000023e+01,2.075000000000000022e-03,1.953000000000000092e-03
-6.524799999999999045e+01,9.770000000000000039e-04,2.441000000000000027e-03
-6.524000000000000909e+01,1.953000000000000092e-03,1.830999999999999945e-03
-6.523199999999999932e+01,2.441000000000000027e-03,3.052000000000000025e-03
-6.522400000000000375e+01,1.587000000000000086e-03,0.000000000000000000e+00
-6.521599999999999397e+01,1.587000000000000086e-03,2.318999999999999881e-03
-6.520799999999999841e+01,6.099999999999999737e-04,1.221000000000000080e-03
-6.520000000000000284e+01,0.000000000000000000e+00,2.197000000000000168e-03
-6.519199999999999307e+01,1.464999999999999939e-03,2.318999999999999881e-03
-6.518400000000001171e+01,1.343000000000000010e-03,6.099999999999999737e-04
-6.517600000000000193e+01,1.343000000000000010e-03,1.464999999999999939e-03
-6.516799999999999216e+01,1.343000000000000010e-03,2.075000000000000022e-03
-6.516000000000001080e+01,1.587000000000000086e-03,1.464999999999999939e-03
-6.515200000000000102e+01,1.464999999999999939e-03,1.464999999999999939e-03
-6.514399999999999125e+01,1.343000000000000010e-03,2.808000000000000166e-03
-6.513599999999999568e+01,3.660000000000000059e-04,2.318999999999999881e-03
-6.512800000000000011e+01,1.221000000000000080e-03,2.197000000000000168e-03
-6.512000000000000455e+01,2.808000000000000166e-03,1.098999999999999934e-03
-6.511199999999999477e+01,1.587000000000000086e-03,1.953000000000000092e-03
-6.510399999999999920e+01,4.879999999999999898e-04,1.953000000000000092e-03
-6.509600000000000364e+01,3.660000000000000059e-04,2.075000000000000022e-03
-6.508799999999999386e+01,2.808000000000000166e-03,1.953000000000000092e-03
-6.507999999999999829e+01,1.953000000000000092e-03,1.221000000000000080e-03
-6.507200000000000273e+01,2.318999999999999881e-03,1.464999999999999939e-03
-6.506399999999999295e+01,1.343000000000000010e-03,9.770000000000000039e-04
-6.505599999999999739e+01,1.343000000000000010e-03,2.197000000000000168e-03
-6.504800000000000182e+01,2.197000000000000168e-03,2.563000000000000174e-03
-6.504000000000000625e+01,2.439999999999999949e-04,1.587000000000000086e-03
-6.503199999999999648e+01,1.343000000000000010e-03,1.830999999999999945e-03
-6.502400000000000091e+01,1.830999999999999945e-03,1.587000000000000086e-03
-6.501600000000000534e+01,2.075000000000000022e-03,1.953000000000000092e-03
-6.500799999999999557e+01,1.221000000000000080e-03,2.439999999999999949e-04
-6.500000000000000000e+01,1.343000000000000010e-03,3.174000000000000172e-03
-6.499200000000000443e+01,2.441000000000000027e-03,1.830999999999999945e-03
-6.498399999999999466e+01,2.075000000000000022e-03,2.197000000000000168e-03
-6.497599999999999909e+01,1.098999999999999934e-03,1.464999999999999939e-03
-6.496800000000000352e+01,8.540000000000000499e-04,2.563000000000000174e-03
-6.496000000000000796e+01,1.830999999999999945e-03,1.343000000000000010e-03
-6.495199999999999818e+01,1.464999999999999939e-03,2.197000000000000168e-03
-6.494399999999998840e+01,2.197000000000000168e-03,1.098999999999999934e-03
-6.493600000000000705e+01,1.953000000000000092e-03,3.052000000000000025e-03
-6.492799999999999727e+01,1.587000000000000086e-03,8.540000000000000499e-04
-6.492000000000000171e+01,1.098999999999999934e-03,1.464999999999999939e-03
-6.491200000000000614e+01,2.439999999999999949e-04,1.953000000000000092e-03
-6.490399999999999636e+01,2.318999999999999881e-03,2.075000000000000022e-03
-6.489600000000000080e+01,4.879999999999999898e-04,2.075000000000000022e-03
-6.488800000000000523e+01,1.953000000000000092e-03,1.098999999999999934e-03
-6.487999999999999545e+01,1.953000000000000092e-03,2.318999999999999881e-03
-6.487199999999999989e+01,2.439999999999999949e-04,4.879999999999999898e-04
-6.486399999999999011e+01,2.197000000000000168e-03,1.953000000000000092e-03
-6.485600000000000875e+01,6.099999999999999737e-04,3.660000000000000059e-04
-6.484799999999999898e+01,1.464999999999999939e-03,2.318999999999999881e-03
-6.483999999999998920e+01,1.830999999999999945e-03,1.221000000000000080e-03
-6.483200000000000784e+01,1.464999999999999939e-03,1.587000000000000086e-03
-6.482399999999999807e+01,1.830999999999999945e-03,1.953000000000000092e-03
-6.481600000000000250e+01,9.770000000000000039e-04,2.441000000000000027e-03
-6.480799999999999272e+01,1.098999999999999934e-03,1.464999999999999939e-03
-6.479999999999999716e+01,2.441000000000000027e-03,2.075000000000000022e-03
-6.479200000000000159e+01,2.929999999999999879e-03,2.563000000000000174e-03
-6.478399999999999181e+01,1.830999999999999945e-03,2.075000000000000022e-03
-6.477600000000001046e+01,-3.660000000000000059e-04,2.563000000000000174e-03
-6.476800000000000068e+01,9.770000000000000039e-04,1.464999999999999939e-03
-6.475999999999999091e+01,1.953000000000000092e-03,1.464999999999999939e-03
-6.475200000000000955e+01,1.464999999999999939e-03,1.587000000000000086e-03
-6.474399999999999977e+01,1.221000000000000080e-03,2.197000000000000168e-03
-6.473600000000000421e+01,1.464999999999999939e-03,3.052000000000000025e-03
-6.472799999999999443e+01,1.830999999999999945e-03,1.830999999999999945e-03
-6.471999999999999886e+01,3.660000000000000059e-04,1.587000000000000086e-03
-6.471200000000000330e+01,1.343000000000000010e-03,1.587000000000000086e-03
-6.470399999999999352e+01,2.439999999999999949e-04,1.587000000000000086e-03
-6.469600000000001216e+01,1.587000000000000086e-03,1.953000000000000092e-03
-6.468800000000000239e+01,1.830999999999999945e-03,1.098999999999999934e-03
-6.467999999999999261e+01,1.098999999999999934e-03,1.953000000000000092e-03
-6.467199999999999704e+01,1.343000000000000010e-03,3.052000000000000025e-03
-6.466400000000000148e+01,1.343000000000000010e-03,1.098999999999999934e-03
-6.465600000000000591e+01,2.075000000000000022e-03,3.418000000000000031e-03
-6.464799999999999613e+01,2.563000000000000174e-03,1.953000000000000092e-03
-6.464000000000000057e+01,2.439999999999999949e-04,1.830999999999999945e-03
-6.463200000000000500e+01,0.000000000000000000e+00,1.830999999999999945e-03
-6.462399999999999523e+01,8.540000000000000499e-04,2.318999999999999881e-03
-6.461599999999999966e+01,6.099999999999999737e-04,2.318999999999999881e-03
-6.460800000000000409e+01,1.587000000000000086e-03,3.295999999999999885e-03
-6.459999999999999432e+01,3.660000000000000059e-04,1.587000000000000086e-03
-6.459199999999999875e+01,1.221000000000000080e-03,2.075000000000000022e-03
-6.458400000000000318e+01,4.879999999999999898e-04,2.318999999999999881e-03
-6.457599999999999341e+01,1.343000000000000010e-03,1.953000000000000092e-03
-6.456799999999999784e+01,4.879999999999999898e-04,3.174000000000000172e-03
-6.456000000000000227e+01,2.197000000000000168e-03,1.221000000000000080e-03
-6.455200000000000671e+01,1.343000000000000010e-03,3.660000000000000059e-04
-6.454399999999999693e+01,0.000000000000000000e+00,1.221000000000000080e-03
-6.453599999999998715e+01,1.464999999999999939e-03,2.318999999999999881e-03
-6.452800000000000580e+01,9.770000000000000039e-04,8.540000000000000499e-04
-6.451999999999999602e+01,9.770000000000000039e-04,2.075000000000000022e-03
-6.451200000000000045e+01,6.099999999999999737e-04,2.441000000000000027e-03
-6.450400000000000489e+01,9.770000000000000039e-04,2.441000000000000027e-03
-6.449599999999999511e+01,1.219999999999999974e-04,1.587000000000000086e-03
-6.448799999999999955e+01,6.099999999999999737e-04,2.197000000000000168e-03
-6.448000000000000398e+01,2.075000000000000022e-03,3.906000000000000184e-03
-6.447200000000000841e+01,1.464999999999999939e-03,1.953000000000000092e-03
-6.446399999999999864e+01,2.439999999999999949e-04,6.099999999999999737e-04
-6.445599999999998886e+01,1.343000000000000010e-03,1.830999999999999945e-03
-6.444800000000000750e+01,1.464999999999999939e-03,1.587000000000000086e-03
-6.443999999999999773e+01,1.464999999999999939e-03,2.441000000000000027e-03
-6.443200000000000216e+01,1.343000000000000010e-03,2.929999999999999879e-03
-6.442400000000000659e+01,1.587000000000000086e-03,1.953000000000000092e-03
-6.441599999999999682e+01,1.221000000000000080e-03,1.221000000000000080e-03
-6.440800000000000125e+01,4.879999999999999898e-04,2.441000000000000027e-03
-6.439999999999999147e+01,2.439999999999999949e-04,1.098999999999999934e-03
-6.439199999999999591e+01,1.098999999999999934e-03,1.830999999999999945e-03
-6.438400000000000034e+01,1.343000000000000010e-03,1.464999999999999939e-03
-6.437599999999999056e+01,8.540000000000000499e-04,1.464999999999999939e-03
-6.436800000000000921e+01,1.953000000000000092e-03,2.197000000000000168e-03
-6.435999999999999943e+01,4.879999999999999898e-04,2.075000000000000022e-03
-6.435199999999998965e+01,2.563000000000000174e-03,3.052000000000000025e-03
-6.434400000000000830e+01,1.219999999999999974e-04,1.343000000000000010e-03
-6.433599999999999852e+01,8.540000000000000499e-04,2.075000000000000022e-03
-6.432800000000000296e+01,3.660000000000000059e-04,9.770000000000000039e-04
-6.431999999999999318e+01,2.075000000000000022e-03,4.879999999999999898e-04
-6.431199999999999761e+01,8.540000000000000499e-04,3.052000000000000025e-03
-6.430400000000000205e+01,8.540000000000000499e-04,1.464999999999999939e-03
-6.429599999999999227e+01,1.953000000000000092e-03,1.098999999999999934e-03
-6.428800000000001091e+01,1.098999999999999934e-03,3.295999999999999885e-03
-6.428000000000000114e+01,1.830999999999999945e-03,2.197000000000000168e-03
-6.427199999999999136e+01,6.099999999999999737e-04,2.318999999999999881e-03
-6.426400000000001000e+01,4.879999999999999898e-04,6.099999999999999737e-04
-6.425600000000000023e+01,2.439999999999999949e-04,1.830999999999999945e-03
-6.424800000000000466e+01,8.540000000000000499e-04,1.098999999999999934e-03
-6.423999999999999488e+01,1.098999999999999934e-03,1.830999999999999945e-03
-6.423199999999999932e+01,1.343000000000000010e-03,3.052000000000000025e-03
-6.422400000000000375e+01,1.587000000000000086e-03,2.197000000000000168e-03
-6.421599999999999397e+01,2.439999999999999949e-04,2.075000000000000022e-03
-6.420800000000001262e+01,8.540000000000000499e-04,1.221000000000000080e-03
-6.420000000000000284e+01,1.953000000000000092e-03,1.464999999999999939e-03
-6.419199999999999307e+01,1.343000000000000010e-03,2.197000000000000168e-03
-6.418399999999999750e+01,1.098999999999999934e-03,3.660000000000000059e-04
-6.417600000000000193e+01,1.830999999999999945e-03,2.197000000000000168e-03
-6.416800000000000637e+01,1.464999999999999939e-03,2.197000000000000168e-03
-6.415999999999999659e+01,-3.660000000000000059e-04,8.540000000000000499e-04
-6.415200000000000102e+01,8.540000000000000499e-04,1.953000000000000092e-03
-6.414400000000000546e+01,6.099999999999999737e-04,1.953000000000000092e-03
