time_us,aligned_input_v,captured_output_v
0.000000000000000000e+00,5.599999999999999423e-01,4.519039999999999724e-01
8.000000000000000167e-03,5.599999999999999423e-01,8.828120000000000411e-01
1.600000000000000033e-02,5.599999999999999423e-01,3.914790000000000214e-01
2.400000000000000050e-02,5.599999999999999423e-01,5.386959999999999527e-01
3.200000000000000067e-02,5.599999999999999423e-01,6.676029999999999465e-01
4.000000000000000083e-02,5.599999999999999423e-01,4.460450000000000248e-01
4.800000000000000100e-02,5.599999999999999423e-01,6.381839999999999735e-01
5.600000000000000117e-02,5.599999999999999423e-01,5.189209999999999656e-01
6.400000000000000133e-02,5.599999999999999423e-01,5.673829999999999707e-01
7.199999999999999456e-02,5.599999999999999423e-01,5.701899999999999746e-01
8.000000000000000167e-02,5.599999999999999423e-01,5.389399999999999746e-01
8.799999999999999489e-02,5.599999999999999423e-01,5.830079999999999707e-01
9.600000000000000200e-02,5.599999999999999423e-01,5.395510000000000028e-01
1.040000000000000091e-01,5.599999999999999423e-01,5.747069999999999679e-01
1.120000000000000023e-01,5.599999999999999423e-01,5.469969999999999555e-01
1.199999999999999956e-01,5.599999999999999423e-01,5.684810000000000141e-01
1.280000000000000027e-01,5.599999999999999423e-01,5.554200000000000248e-01
1.360000000000000098e-01,5.599999999999999423e-01,5.598140000000000338e-01
1.439999999999999891e-01,5.599999999999999423e-01,5.595700000000000118e-01
1.520000000000000240e-01,5.599999999999999423e-01,5.570070000000000299e-01
1.600000000000000033e-01,5.599999999999999423e-01,5.622559999999999780e-01
1.679999999999999827e-01,5.599999999999999423e-01,5.548100000000000254e-01
1.759999999999999898e-01,5.599999999999999423e-01,5.616459999999999786e-01
1.839999999999999969e-01,5.599999999999999423e-01,5.565189999999999859e-01
1.920000000000000040e-01,5.599999999999999423e-01,5.620119999999999560e-01
1.999999999999999833e-01,5.599999999999999423e-01,5.565189999999999859e-01
2.080000000000000182e-01,5.599999999999999423e-01,5.594479999999999453e-01
2.159999999999999976e-01,5.599999999999999423e-01,5.574949999999999628e-01
2.240000000000000047e-01,5.599999999999999423e-01,5.588379999999999459e-01
2.320000000000000118e-01,5.599999999999999423e-01,5.604249999999999510e-01
2.399999999999999911e-01,5.599999999999999423e-01,5.589600000000000124e-01
2.479999999999999982e-01,5.599999999999999423e-01,5.603029999999999955e-01
2.560000000000000053e-01,5.599999999999999423e-01,5.573730000000000073e-01
2.639999999999999569e-01,5.599999999999999423e-01,5.593259999999999899e-01
2.720000000000000195e-01,5.599999999999999423e-01,5.592040000000000344e-01
2.800000000000000266e-01,5.599999999999999423e-01,5.589600000000000124e-01
2.879999999999999782e-01,5.599999999999999423e-01,5.587159999999999904e-01
2.959999999999999853e-01,5.599999999999999423e-01,5.578610000000000513e-01
3.040000000000000480e-01,5.599999999999999423e-01,5.587159999999999904e-01
3.119999999999999996e-01,5.599999999999999423e-01,5.589600000000000124e-01
3.200000000000000067e-01,5.599999999999999423e-01,5.568849999999999634e-01
3.280000000000000138e-01,5.599999999999999423e-01,5.587159999999999904e-01
3.359999999999999654e-01,5.599999999999999423e-01,5.587159999999999904e-01
3.440000000000000280e-01,5.599999999999999423e-01,5.577389999999999848e-01
3.519999999999999796e-01,5.599999999999999423e-01,5.593259999999999899e-01
3.599999999999999867e-01,5.599999999999999423e-01,5.582279999999999465e-01
3.679999999999999938e-01,5.599999999999999423e-01,5.563960000000000017e-01
3.760000000000000009e-01,5.599999999999999423e-01,5.594479999999999453e-01
3.840000000000000080e-01,5.599999999999999423e-01,5.588379999999999459e-01
3.920000000000000151e-01,5.599999999999999423e-01,5.574949999999999628e-01
3.999999999999999667e-01,5.599999999999999423e-01,5.587159999999999904e-01
4.079999999999999738e-01,5.599999999999999423e-01,5.589600000000000124e-01
4.160000000000000364e-01,5.599999999999999423e-01,5.589600000000000124e-01
4.239999999999999880e-01,5.599999999999999423e-01,5.595700000000000118e-01
4.319999999999999951e-01,5.599999999999999423e-01,5.592040000000000344e-01
4.400000000000000022e-01,5.599999999999999423e-01,5.598140000000000338e-01
4.480000000000000093e-01,5.599999999999999423e-01,5.584719999999999684e-01
4.560000000000000164e-01,5.599999999999999423e-01,5.578610000000000513e-01
4.640000000000000235e-01,5.599999999999999423e-01,5.582279999999999465e-01
4.719999999999999751e-01,5.599999999999999423e-01,5.582279999999999465e-01
4.799999999999999822e-01,5.599999999999999423e-01,5.584719999999999684e-01
4.880000000000000449e-01,5.599999999999999423e-01,5.598140000000000338e-01
4.959999999999999964e-01,5.599999999999999423e-01,5.491939999999999600e-01
5.040000000000000036e-01,5.599999999999999423e-01,4.277340000000000031e-01
5.120000000000000107e-01,1.938033397355455947e-02,5.273400000000000309e-02
5.200000000000000178e-01,1.729027425611089422e-02,-1.361080000000000068e-01
5.279999999999999138e-01,1.541069677101390006e-02,9.289600000000000635e-02
5.360000000000000320e-01,1.374723152530895297e-02,1.818799999999999931e-02
5.440000000000000391e-01,1.230510519081260898e-02,-3.808600000000000180e-02
5.519999999999999352e-01,1.108913148467147169e-02,6.066900000000000071e-02
5.600000000000000533e-01,1.010370230397306807e-02,-2.832000000000000142e-02
5.679999999999999494e-01,9.352779630593551635e-03,2.514600000000000168e-02
5.759999999999999565e-01,8.839888221061166507e-03,1.953000000000000092e-03
5.840000000000000746e-01,8.568109094779416054e-03,1.587000000000000086e-03
5.919999999999999707e-01,8.540073832499280038e-03,1.525899999999999999e-02
5.999999999999999778e-01,8.757959695449337931e-03,-4.150000000000000043e-03
6.080000000000000959e-01,9.223485574034883880e-03,1.611299999999999885e-02
6.159999999999999920e-01,9.937908773504072063e-03,9.770000000000000039e-04
6.239999999999999991e-01,1.090202264244990137e-02,1.550299999999999942e-02
6.320000000000000062e-01,1.211615504847990410e-02,7.689999999999999787e-03
6.400000000000000133e-01,1.358016770383820709e-02,1.342800000000000070e-02
6.480000000000000204e-01,1.529345634221354784e-02,1.330600000000000012e-02
6.560000000000000275e-01,1.725495174641373392e-02,1.574700000000000058e-02
6.640000000000000346e-01,1.946312162503291768e-02,1.818799999999999931e-02
6.719999999999999307e-01,2.191597333468985748e-02,1.831100000000000089e-02
6.799999999999999378e-01,2.461105744287023223e-02,2.441400000000000167e-02
6.880000000000000560e-01,2.754547212487402572e-02,2.526899999999999979e-02
6.959999999999999520e-01,3.071586838684440754e-02,3.051799999999999999e-02
7.039999999999999591e-01,3.411845610534770118e-02,3.234900000000000275e-02
7.120000000000000773e-01,3.774901087248461184e-02,3.674299999999999788e-02
7.199999999999999734e-01,4.160288163403994682e-02,4.040500000000000341e-02
7.279999999999999805e-01,4.567499910673450403e-02,4.540999999999999898e-02
7.359999999999999876e-01,4.995988495921580702e-02,5.053699999999999859e-02
7.439999999999999947e-01,5.445166174003603088e-02,5.236799999999999788e-02
7.520000000000000018e-01,5.914406353449650627e-02,5.847200000000000314e-02
7.600000000000000089e-01,6.403044733091249607e-02,6.213400000000000173e-02
7.680000000000000160e-01,6.910380507555305418e-02,6.897000000000000353e-02
7.759999999999999121e-01,7.435677639425852803e-02,7.336399999999999866e-02
7.840000000000000302e-01,7.978166195751548728e-02,7.885699999999999654e-02
7.920000000000000373e-01,8.537043746460000471e-02,8.520500000000000296e-02
7.999999999999999334e-01,9.111476822126685082e-02,9.033199999999999563e-02
8.080000000000000515e-01,9.700602428438004354e-02,9.655800000000000494e-02
8.159999999999999476e-01,1.030352961458442518e-01,1.031490000000000046e-01
8.239999999999999547e-01,1.091934109272161280e-01,1.081540000000000001e-01
8.320000000000000728e-01,1.154709490554353957e-01,1.148679999999999979e-01
8.399999999999999689e-01,1.218582613892438826e-01,1.207280000000000020e-01
8.479999999999999760e-01,1.283454867650364595e-01,1.279299999999999882e-01
8.560000000000000941e-01,1.349225699301189740e-01,1.336670000000000080e-01
8.639999999999999902e-01,1.415792798306463873e-01,1.422120000000000051e-01
8.719999999999999973e-01,1.483052282208612016e-01,1.485599999999999976e-01
8.800000000000000044e-01,1.550898885596730670e-01,1.555179999999999896e-01
8.880000000000000115e-01,1.619226151600875463e-01,1.625979999999999925e-01
8.960000000000000187e-01,1.687926625565367433e-01,1.684569999999999956e-01
9.040000000000000258e-01,1.756892050547653461e-01,1.762700000000000100e-01
9.120000000000000329e-01,1.826013564285905166e-01,1.828609999999999958e-01
9.199999999999999289e-01,1.895181897275869665e-01,1.894530000000000103e-01
9.280000000000000471e-01,1.964287571595496329e-01,1.967770000000000075e-01
9.360000000000000542e-01,2.033221100114415980e-01,2.020260000000000111e-01
9.439999999999999503e-01,2.101873185724742188e-01,2.110599999999999976e-01
9.519999999999999574e-01,2.170134920229541686e-01,2.169190000000000007e-01
9.599999999999999645e-01,2.237897982526030616e-01,2.228999999999999870e-01
